"","FileNumber","ResultCode","AccountStatus","PermitStatus","DateIssued","DateExpired","AnnualTimeStart","AnnualTimeEnd","ProjectTitle","FirstName","LastName","Organization","HUCNumber","WaterbodyName","BasinName","StreamName","LocationDescription","CommonName","Population","Run","Production","LifeStage","Sex","TakeAction","CaptureMethod","ExpTake","IndMort","Species"
"19","13791-7R","NMFS 10a1A Salmon","Application Complete","Issued",2020-12-28,2025-12-31,2021-01-01,2025-12-31,"Renew: USFWS Long-Term Delta Juvenile Fish Monitoring Program, Delta Littoral Habitat Study, Liberty Island and Cache Slough Complex, IEP Gear Efficiency Evaluation, Enhanced Delta Smelt Monitoring, Tissue Collection of Winter Run Sized Juvenile Salmon",NA,NA,"Lodi Fish and Wildlife Office",99999999,"N/A","N/A","Suisun Bay","IEP Gear Efficiency Evaluation Study, Suisun Bay, HUC 18050001","steelhead","California Central Valley","N/A","Listed Hatchery Adipose Clip","Juvenile","Male and Female","Capture/Handle/Release Animal","Seine, Beach",10,1,"California Central Valley steelhead"
"20","13791-7R","NMFS 10a1A Salmon","Application Complete","Issued",2020-12-28,2025-12-31,2021-01-01,2025-12-31,"Renew: USFWS Long-Term Delta Juvenile Fish Monitoring Program, Delta Littoral Habitat Study, Liberty Island and Cache Slough Complex, IEP Gear Efficiency Evaluation, Enhanced Delta Smelt Monitoring, Tissue Collection of Winter Run Sized Juvenile Salmon",NA,NA,"Lodi Fish and Wildlife Office",99999999,"N/A","N/A","Suisun Bay","IEP Gear Efficiency Evaluation Study, Suisun Bay, HUC 18050001","steelhead","California Central Valley","N/A","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Seine, Beach",10,1,"California Central Valley steelhead"
"21","13791-7R","NMFS 10a1A Salmon","Application Complete","Issued",2020-12-28,2025-12-31,2021-01-01,2025-12-31,"Renew: USFWS Long-Term Delta Juvenile Fish Monitoring Program, Delta Littoral Habitat Study, Liberty Island and Cache Slough Complex, IEP Gear Efficiency Evaluation, Enhanced Delta Smelt Monitoring, Tissue Collection of Winter Run Sized Juvenile Salmon",NA,NA,"Lodi Fish and Wildlife Office",99999999,"N/A","N/A","Suisun Bay","IEP Gear Efficiency Evaluation Study, Suisun Bay, HUC 18050001","green sturgeon","Southern DPS","N/A","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Seine, Beach",1,0,"Southern DPS green sturgeon"
"22","14046-4R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-20,2023-12-31,2019-05-20,2023-12-31,"Renew: Salmon Recovery Monitoring and Research in King County's Aquatic Habitats",NA,NA,"King County Department of Natural Resources and Parks",99999999,"South Puget Sound","N/A","Puget Sound- King County Nearshore","Intertidal nearshore zone of Puget Sound within King County, including both mainland Puget Sound as well as Vashon/Maury Islands.","Chinook salmon","Puget Sound","Mixed","Listed Hatchery Adipose Clip","Juvenile","N/A","Capture/Handle/Release Animal","Seine, Beach",750,23,"Puget Sound Chinook salmon"
"23","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","eulachon","Southern DPS","N/A","Natural","Adult","Male and Female","Capture/Handle/Release Animal","Trawl, Nordic Surface",100,100,"Southern DPS eulachon"
"24","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Lower Columbia River","Mixed","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Trawl, Nordic Surface",48,0,"Lower Columbia River Chinook salmon"
"25","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Lower Columbia River","Mixed","Natural","Adult","Unknown","Capture/Handle/Release Animal","Trawl, Nordic Surface",29,0,"Lower Columbia River Chinook salmon"
"26","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Puget Sound","Mixed","Natural","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",1,0,"Puget Sound Chinook salmon"
"27","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Snake River fall-run","Fall","Listed Hatchery Adipose Clip","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",75,0,"Snake River fall-run Chinook salmon"
"28","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Trawl, Nordic Surface",1,0,"Snake River spring/summer-run Chinook salmon"
"29","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Snake River spring/summer-run","Spring/Summer","Natural","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",16,0,"Snake River spring/summer-run Chinook salmon"
"30","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Upper Willamette River","Spring","Listed Hatchery Adipose Clip","Adult","Unknown","Capture/Handle/Release Animal","Trawl, Nordic Surface",5,0,"Upper Willamette River Chinook salmon"
"31","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","Chinook salmon","Upper Willamette River","Spring","Natural","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",8,0,"Upper Willamette River Chinook salmon"
"32","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","coho salmon","Lower Columbia River","N/A","Listed Hatchery Adipose Clip","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",880,0,"Lower Columbia River coho salmon"
"33","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","coho salmon","Lower Columbia River","N/A","Natural","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",100,0,"Lower Columbia River coho salmon"
"34","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","coho salmon","Oregon Coast","N/A","Natural","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",100,0,"Oregon Coast coho salmon"
"35","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","coho salmon","Southern Oregon/Northern California Coast","N/A","Natural","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",10,0,"Southern Oregon/Northern California Coast coho salmon"
"36","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","steelhead","Middle Columbia River","Summer","Listed Hatchery Adipose Clip","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",11,0,"Middle Columbia River steelhead"
"37","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","steelhead","Snake River Basin","Summer","Listed Hatchery Intact Adipose","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",6,0,"Snake River Basin steelhead"
"38","1410-12R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Columbia River basin juvenile salmonids: survival and growth in the Columbia River Plume and northern California Current",NA,NA,"NMFS Northwest Fisheries Science Center",99999999,"N/A","N/A","Pacific Ocean off Oregon and Washington from nearshore out to 50 miles","Washington transects are located off Cape Flattery, La Push, Queets River, Grays Harbor, and Willapa Bay. Oregon transects are located off the Columbia River, Cape Meares, Cascade Head, and Newport. Transects involve from 6 to 11 predetermined stations.","steelhead","Upper Columbia River","Summer","Natural","Juvenile","Unknown","Intentional (Directed) Mortality","Trawl, Nordic Surface",7,0,"Upper Columbia River steelhead"
"39","1484-7R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-20,2023-12-31,2019-05-20,2023-12-31,"Renew: Electrofishing to conduct Fish Presence/Absence Stream Surveys on Washington Department of Natural Resources (DNR) Pacific Cascade Region Lands in Southwest Washington.",NA,NA,"Washington Department of Natural Resources, Pacific Cascade Region",99999999,"N/A","N/A","Multiple subbasins in southwest Washington, please see list below and attachment.","Streams on DNR land within Southwest Washington subbasins that include: Grays Harbor, Lower Chehalis, Upper Chehalis, Willapa, Lower Columbia, Lower Columbia Clatskanie, Lower Willamette, Lower Columbia-Sandy, Cowlitz, Lewis, Middle Columbia-Hood, Klickit","steelhead","Lower Columbia River","Mixed","Natural","Juvenile","Male and Female","Capture/Handle/Release Animal","Electrofishing, Backpack",10,1,"Lower Columbia River steelhead"
"40","15205-4R","NMFS 10a1A Salmon","Application Complete","Issued",2020-04-01,2024-12-31,2020-04-01,2024-12-31,"Renew: Juvenile Salmon Prey Utilization, Contaminant Concentration, and Residence Time in the San Juan Islands, WA","Russel","Barsh","KWIAHT (Center for the Historical Ecology of the Salish Sea)",99999999,"North Puget Sound","N/A","Brigantine Bay","West-facing sand and gravel beach on Decatur Island, sheltered by Center Island, all on Lopez Sound on the east side of Lopez Island.","Chinook salmon","Puget Sound","Mixed","Natural","Juvenile","Male and Female","Capture/Mark, Tag, Sample Tissue/Release Live Animal","Seine, Beach",175,2,"Puget Sound Chinook salmon"
"41","15207-4R","NMFS 10a1A Salmon","Application Complete","Issued",2019-05-10,2023-12-31,2019-05-10,2023-12-31,"Renew: Assess the condition of rivers and streams in randomly-selected river systems in Idaho, Oregon and Washington to monitor, research and develop field protocols for assessing large rivers and streams.","Jason","Adams","Amnis Opes Institute, LLC",99999999,"N/A","N/A","Lower Columbia River Basin - mouth of Columbia River up to and including the Hood and White Salmon rivers","Locations are described in the attached spreadsheet","Chinook salmon","Lower Columbia River","Mixed","Natural","Juvenile","Unknown","Capture/Handle/Release Animal","Electrofishing, Boat",200,6,"Lower Columbia River Chinook salmon"
